step	file	score	n_paths	top_weight	monodromy_phase	wall_crossing	H1_11
71	ainf_export_1778226094.28.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
72	ainf_export_1778226103.06.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
73	ainf_export_1778226111.90.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
74	ainf_export_1778226120.73.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
75	ainf_export_1778226129.60.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
76	ainf_export_1778226138.40.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
77	ainf_export_1778226147.08.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
78	ainf_export_1778226155.75.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
79	ainf_export_1778226164.43.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
80	ainf_export_1778226173.20.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
81	ainf_export_1778226182.10.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
82	ainf_export_1778226190.86.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
83	ainf_export_1778226199.64.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
84	ainf_export_1778226208.39.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
85	ainf_export_1778226217.10.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
86	ainf_export_1778226225.92.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
87	ainf_export_1778226235.32.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
88	ainf_export_1778226244.64.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
89	ainf_export_1778226254.45.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
90	ainf_export_1778226263.96.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
91	ainf_export_1778226272.94.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
92	ainf_export_1778226281.99.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
93	ainf_export_1778226290.87.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
94	ainf_export_1778226300.09.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
95	ainf_export_1778226309.92.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
96	ainf_export_1778226319.36.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
97	ainf_export_1778226328.36.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
98	ainf_export_1778226337.31.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
99	ainf_export_1778226346.36.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
100	ainf_export_1778226355.87.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
101	ainf_export_1778226365.89.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
102	ainf_export_1778226375.88.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
103	ainf_export_1778226384.81.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
104	ainf_export_1778226393.78.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
105	ainf_export_1778226402.81.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
106	ainf_export_1778226411.67.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
107	ainf_export_1778226420.56.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
108	ainf_export_1778226429.46.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
109	ainf_export_1778226438.34.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
110	ainf_export_1778226447.10.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
111	ainf_export_1778226455.85.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
