region,index,centroid_x,centroid_y,centroid_z
BLA,0,1566.8407148954334,2798.2013380281687,1438.6702208706786
CA1sp,1,1545.8961851789331,3011.840845712357,820.8278357528696
HPF,2,1541.0993427397887,2972.07271303973,890.0079713115795
HY,3,1529.815219035692,2644.0845873512835,1475.8196462116468
LA,4,1596.5983915600136,2792.671497751643,1251.1096748529922
sAMY,5,1520.052602428408,2637.0979986254297,1520.1811615120275
