step	file	score	n_paths	top_weight	monodromy_phase	wall_crossing	H1_11
71	ainf_export_1779168287.87.json	0.000000	100	4.000318e+00	0.750900	true	0.63568750
72	ainf_export_1779168301.80.json	0.000000	100	4.000608e+00	0.006300	true	0.63568750
73	ainf_export_1779168315.77.json	0.000000	100	4.001050e+00	0.000600	false	1.00000000
74	ainf_export_1779168327.81.json	0.000000	100	4.001794e+00	0.018500	true	1.57310000
75	ainf_export_1779168338.91.json	0.000000	100	4.001599e+00	0.995500	true	1.57310000
76	ainf_export_1779168350.06.json	0.000000	100	4.002510e+00	0.994800	false	1.00000000
77	ainf_export_1779168361.10.json	0.000000	100	4.002321e+00	0.997900	false	1.00000000
78	ainf_export_1779168372.09.json	0.000000	100	4.000872e+00	0.000900	true	0.63568750
79	ainf_export_1779168385.45.json	0.000000	100	4.000333e+00	0.001500	false	1.00000000
80	ainf_export_1779168397.56.json	0.000000	100	4.000143e+00	0.002400	false	1.00000000
81	ainf_export_1779168409.03.json	0.000000	100	4.000061e+00	0.003500	false	1.00000000
82	ainf_export_1779168420.08.json	0.000000	100	4.000054e+00	0.995600	true	1.57310000
83	ainf_export_1779168430.77.json	0.000000	100	4.000101e+00	0.995400	false	1.00000000
84	ainf_export_1779168441.51.json	0.000000	100	4.000187e+00	0.994800	false	1.00000000
85	ainf_export_1779168452.30.json	0.000000	100	4.000327e+00	0.994800	false	1.00000000
86	ainf_export_1779168463.02.json	0.000000	100	4.000288e+00	0.994800	false	1.00000000
87	ainf_export_1779168473.74.json	0.000000	100	4.000514e+00	0.997500	false	1.00000000
88	ainf_export_1779168484.50.json	0.000000	100	4.000952e+00	0.995100	false	1.00000000
89	ainf_export_1779168495.27.json	0.000000	100	4.001745e+00	0.995200	false	1.00000000
90	ainf_export_1779168506.14.json	0.000000	100	4.001584e+00	0.995200	false	1.00000000
91	ainf_export_1779168516.95.json	0.000000	100	4.000677e+00	0.995500	false	1.00000000
92	ainf_export_1779168531.26.json	0.000000	100	4.000228e+00	0.997600	false	1.00000000
93	ainf_export_1779168547.91.json	0.000000	100	4.000091e+00	0.995800	false	1.00000000
94	ainf_export_1779168560.73.json	0.000000	100	4.000082e+00	0.995100	false	1.00000000
95	ainf_export_1779168574.58.json	0.000000	100	4.000069e+00	0.994900	false	1.00000000
96	ainf_export_1779168587.15.json	0.000000	100	4.000130e+00	0.994800	false	1.00000000
97	ainf_export_1779168601.50.json	0.000000	100	4.000226e+00	0.995200	false	1.00000000
98	ainf_export_1779168616.07.json	0.000000	100	4.000417e+00	0.994800	false	1.00000000
99	ainf_export_1779168627.94.json	0.000000	100	4.000773e+00	0.994900	false	1.00000000
100	ainf_export_1779168639.04.json	0.000000	100	4.001402e+00	0.003900	true	0.63568750
101	ainf_export_1779168650.13.json	0.000000	100	4.001269e+00	0.004000	false	1.00000000
102	ainf_export_1779168661.23.json	0.000000	100	4.000580e+00	0.001700	false	1.00000000
103	ainf_export_1779168672.35.json	0.000000	100	4.000237e+00	0.003600	false	1.00000000
104	ainf_export_1779168684.18.json	0.000000	100	4.000095e+00	0.995000	true	1.57310000
105	ainf_export_1779168695.30.json	0.000000	100	4.000035e+00	0.999300	false	1.00000000
106	ainf_export_1779168706.04.json	0.000000	100	4.000070e+00	0.004500	true	0.63568750
107	ainf_export_1779168716.73.json	0.000000	100	4.000128e+00	0.001100	false	1.00000000
108	ainf_export_1779168727.45.json	0.000000	100	4.000232e+00	0.001500	false	1.00000000
109	ainf_export_1779168738.26.json	0.000000	100	4.000438e+00	0.995900	true	1.57310000
110	ainf_export_1779168749.10.json	0.000000	100	4.000835e+00	0.995200	false	1.00000000
111	ainf_export_1779168759.86.json	0.000000	100	4.000716e+00	0.998800	false	1.00000000
112	ainf_export_1779168770.79.json	0.000000	100	4.001189e+00	0.004400	true	0.63568750
113	ainf_export_1779168781.53.json	0.000000	100	4.001050e+00	0.995900	true	1.57310000
114	ainf_export_1779168792.38.json	0.000000	100	4.000944e+00	0.995900	false	1.00000000
115	ainf_export_1779168803.27.json	0.000000	100	4.001595e+00	0.996300	false	1.00000000
116	ainf_export_1779168814.20.json	0.000000	100	4.000797e+00	0.995700	false	1.00000000
117	ainf_export_1779168824.95.json	0.000000	100	4.001400e+00	0.995100	false	1.00000000
118	ainf_export_1779168835.68.json	0.000000	100	4.001209e+00	0.000500	true	0.63568750
119	ainf_export_1779168846.41.json	0.000000	100	4.002143e+00	0.002500	false	1.00000000
120	ainf_export_1779168857.23.json	0.000000	100	4.000961e+00	0.002400	false	1.00000000
121	ainf_export_1779168868.18.json	0.000000	100	4.000402e+00	0.997400	true	1.57310000
122	ainf_export_1779168879.27.json	0.000000	100	4.000143e+00	0.997700	false	1.00000000
123	ainf_export_1779168890.28.json	0.000000	100	4.000052e+00	0.996000	false	1.00000000
124	ainf_export_1779168900.95.json	0.000000	100	4.000095e+00	0.999200	false	1.00000000
